sample_id,true_label,strategy,stage,parameter,confidence,flipped
0892 (2).jpg,REAL,original,original,0.0,0.8172798752784729,False
0892 (2).jpg,REAL,A_blur,blur_0.3,0.3,0.8172798752784729,False
0892 (2).jpg,REAL,A_blur,blur_0.5,0.5,0.8169056177139282,False
0892 (2).jpg,REAL,A_blur,blur_0.8,0.8,0.8087264895439148,False
0892 (2).jpg,REAL,A_blur,blur_1.0,1.0,0.8087264895439148,False
0892 (2).jpg,REAL,A_blur_freq,blur0.5_freq0.05,0.05,0.8153783679008484,False
0892 (2).jpg,REAL,A_blur_freq,blur0.5_freq0.1,0.1,0.8289426565170288,False
0892 (2).jpg,REAL,A_blur_freq,blur0.5_freq0.15,0.15,0.8252086043357849,False
0892 (2).jpg,REAL,B_noise,noise_0.01,0.01,0.8148534297943115,False
0892 (2).jpg,REAL,B_noise,noise_0.02,0.02,0.8166812062263489,False
0892 (2).jpg,REAL,B_noise,noise_0.03,0.03,0.8083781599998474,False
0892 (2).jpg,REAL,B_noise,noise_0.05,0.05,0.7866833209991455,False
0892 (2).jpg,REAL,B_noise_bright,noise0.02_bright1.02,1.02,0.8104124665260315,False
0892 (2).jpg,REAL,B_noise_bright,noise0.02_bright1.05,1.05,0.8002241849899292,False
0892 (2).jpg,REAL,B_noise_bright,noise0.02_bright1.08,1.08,0.8137384057044983,False
0250 (5).jpg,REAL,original,original,0.0,0.7832592725753784,False
0250 (5).jpg,REAL,A_blur,blur_0.3,0.3,0.7832592725753784,False
0250 (5).jpg,REAL,A_blur,blur_0.5,0.5,0.8023722171783447,False
0250 (5).jpg,REAL,A_blur,blur_0.8,0.8,0.7852829694747925,False
0250 (5).jpg,REAL,A_blur,blur_1.0,1.0,0.7852829694747925,False
0250 (5).jpg,REAL,A_blur_freq,blur0.5_freq0.05,0.05,0.7987646460533142,False
0250 (5).jpg,REAL,A_blur_freq,blur0.5_freq0.1,0.1,0.8025062084197998,False
0250 (5).jpg,REAL,A_blur_freq,blur0.5_freq0.15,0.15,0.8092615604400635,False
0250 (5).jpg,REAL,B_noise,noise_0.01,0.01,0.7851206064224243,False
0250 (5).jpg,REAL,B_noise,noise_0.02,0.02,0.7897588610649109,False
0250 (5).jpg,REAL,B_noise,noise_0.03,0.03,0.7786974906921387,False
0250 (5).jpg,REAL,B_noise,noise_0.05,0.05,0.7917143106460571,False
0250 (5).jpg,REAL,B_noise_bright,noise0.02_bright1.02,1.02,0.7860228419303894,False
0250 (5).jpg,REAL,B_noise_bright,noise0.02_bright1.05,1.05,0.7782788872718811,False
0250 (5).jpg,REAL,B_noise_bright,noise0.02_bright1.08,1.08,0.7836620211601257,False
0071.jpg,REAL,original,original,0.0,0.8408970236778259,False
0071.jpg,REAL,A_blur,blur_0.3,0.3,0.8408970236778259,False
0071.jpg,REAL,A_blur,blur_0.5,0.5,0.833207905292511,False
0071.jpg,REAL,A_blur,blur_0.8,0.8,0.8172121047973633,False
0071.jpg,REAL,A_blur,blur_1.0,1.0,0.8172121047973633,False
0071.jpg,REAL,A_blur_freq,blur0.5_freq0.05,0.05,0.8309207558631897,False
0071.jpg,REAL,A_blur_freq,blur0.5_freq0.1,0.1,0.8262144327163696,False
0071.jpg,REAL,A_blur_freq,blur0.5_freq0.15,0.15,0.813533365726471,False
0071.jpg,REAL,B_noise,noise_0.01,0.01,0.8428645730018616,False
0071.jpg,REAL,B_noise,noise_0.02,0.02,0.8447271585464478,False
0071.jpg,REAL,B_noise,noise_0.03,0.03,0.841762125492096,False
0071.jpg,REAL,B_noise,noise_0.05,0.05,0.8419101238250732,False
0071.jpg,REAL,B_noise_bright,noise0.02_bright1.02,1.02,0.8435895442962646,False
0071.jpg,REAL,B_noise_bright,noise0.02_bright1.05,1.05,0.8453031182289124,False
0071.jpg,REAL,B_noise_bright,noise0.02_bright1.08,1.08,0.8423168063163757,False
0657 (4).jpg,REAL,original,original,0.0,0.7972667813301086,False
0657 (4).jpg,REAL,A_blur,blur_0.3,0.3,0.7972667813301086,False
0657 (4).jpg,REAL,A_blur,blur_0.5,0.5,0.7924210429191589,False
0657 (4).jpg,REAL,A_blur,blur_0.8,0.8,0.7858405113220215,False
0657 (4).jpg,REAL,A_blur,blur_1.0,1.0,0.7858405113220215,False
0657 (4).jpg,REAL,A_blur_freq,blur0.5_freq0.05,0.05,0.7995576858520508,False
0657 (4).jpg,REAL,A_blur_freq,blur0.5_freq0.1,0.1,0.8092905282974243,False
0657 (4).jpg,REAL,A_blur_freq,blur0.5_freq0.15,0.15,0.8175792694091797,False
0657 (4).jpg,REAL,B_noise,noise_0.01,0.01,0.7970587611198425,False
0657 (4).jpg,REAL,B_noise,noise_0.02,0.02,0.8009489178657532,False
0657 (4).jpg,REAL,B_noise,noise_0.03,0.03,0.8072206377983093,False
0657 (4).jpg,REAL,B_noise,noise_0.05,0.05,0.8055710792541504,False
0657 (4).jpg,REAL,B_noise_bright,noise0.02_bright1.02,1.02,0.8001772165298462,False
0657 (4).jpg,REAL,B_noise_bright,noise0.02_bright1.05,1.05,0.7908405065536499,False
0657 (4).jpg,REAL,B_noise_bright,noise0.02_bright1.08,1.08,0.7940325140953064,False
0905 (9).jpg,REAL,original,original,0.0,0.8107160329818726,False
0905 (9).jpg,REAL,A_blur,blur_0.3,0.3,0.8107160329818726,False
0905 (9).jpg,REAL,A_blur,blur_0.5,0.5,0.8088399171829224,False
0905 (9).jpg,REAL,A_blur,blur_0.8,0.8,0.8030695915222168,False
0905 (9).jpg,REAL,A_blur,blur_1.0,1.0,0.8030695915222168,False
0905 (9).jpg,REAL,A_blur_freq,blur0.5_freq0.05,0.05,0.8137946128845215,False
0905 (9).jpg,REAL,A_blur_freq,blur0.5_freq0.1,0.1,0.8145654201507568,False
0905 (9).jpg,REAL,A_blur_freq,blur0.5_freq0.15,0.15,0.822556734085083,False
0905 (9).jpg,REAL,B_noise,noise_0.01,0.01,0.809498131275177,False
0905 (9).jpg,REAL,B_noise,noise_0.02,0.02,0.8137761354446411,False
0905 (9).jpg,REAL,B_noise,noise_0.03,0.03,0.8084877133369446,False
0905 (9).jpg,REAL,B_noise,noise_0.05,0.05,0.8086574673652649,False
0905 (9).jpg,REAL,B_noise_bright,noise0.02_bright1.02,1.02,0.8102449774742126,False
0905 (9).jpg,REAL,B_noise_bright,noise0.02_bright1.05,1.05,0.8077619075775146,False
0905 (9).jpg,REAL,B_noise_bright,noise0.02_bright1.08,1.08,0.8066995739936829,False
0474 (3).jpg,REAL,original,original,0.0,0.8399956226348877,False
0474 (3).jpg,REAL,A_blur,blur_0.3,0.3,0.8399956226348877,False
0474 (3).jpg,REAL,A_blur,blur_0.5,0.5,0.8047713041305542,False
0474 (3).jpg,REAL,A_blur,blur_0.8,0.8,0.7953717112541199,False
0474 (3).jpg,REAL,A_blur,blur_1.0,1.0,0.7953717112541199,False
0474 (3).jpg,REAL,A_blur_freq,blur0.5_freq0.05,0.05,0.807125449180603,False
0474 (3).jpg,REAL,A_blur_freq,blur0.5_freq0.1,0.1,0.8030270338058472,False
0474 (3).jpg,REAL,A_blur_freq,blur0.5_freq0.15,0.15,0.8000955581665039,False
0474 (3).jpg,REAL,B_noise,noise_0.01,0.01,0.8399266600608826,False
0474 (3).jpg,REAL,B_noise,noise_0.02,0.02,0.8450490832328796,False
0474 (3).jpg,REAL,B_noise,noise_0.03,0.03,0.8333695530891418,False
0474 (3).jpg,REAL,B_noise,noise_0.05,0.05,0.8379742503166199,False
0474 (3).jpg,REAL,B_noise_bright,noise0.02_bright1.02,1.02,0.8392463326454163,False
0474 (3).jpg,REAL,B_noise_bright,noise0.02_bright1.05,1.05,0.844788670539856,False
0474 (3).jpg,REAL,B_noise_bright,noise0.02_bright1.08,1.08,0.8362416625022888,False
0954 (6).jpg,REAL,original,original,0.0,0.7822747826576233,False
0954 (6).jpg,REAL,A_blur,blur_0.3,0.3,0.7822747826576233,False
0954 (6).jpg,REAL,A_blur,blur_0.5,0.5,0.8074451088905334,False
0954 (6).jpg,REAL,A_blur,blur_0.8,0.8,0.8001653552055359,False
0954 (6).jpg,REAL,A_blur,blur_1.0,1.0,0.8001653552055359,False
