sample_id,low_pass,original,remove_checkerboard,slight_mask,suppress_high
FAKE_000_661_(3),0.45858290791511536,0.46554282307624817,0.5507157444953918,0.45858290791511536,0.44996944069862366
FAKE_001_52_(5),0.22138546407222748,0.516917884349823,0.39827796816825867,0.22138546407222748,0.5254064798355103
FAKE_002_254_(2),0.4259795546531677,0.4601036012172699,0.4458427429199219,0.4259795546531677,0.4582287669181824
FAKE_003_525_(3),0.5525927543640137,0.707910418510437,0.6072437763214111,0.5525927543640137,0.7047791481018066
FAKE_004_505_(2),0.4192027449607849,0.3239254355430603,0.2832907736301422,0.4192027449607849,0.31653064489364624
FAKE_005_67_(10),0.3765174150466919,0.39839035272598267,0.39960208535194397,0.3765174150466919,0.41564425826072693
FAKE_006_15_(7),0.39572736620903015,0.6768020391464233,0.6492360234260559,0.39572736620903015,0.6543005704879761
FAKE_007_567_(3),0.5121649503707886,0.518992006778717,0.4725378751754761,0.5121649503707886,0.5150977373123169
FAKE_008_671_(4),0.5675760507583618,0.5517562627792358,0.4679626524448395,0.5675760507583618,0.5591586828231812
FAKE_009_137,0.5189422369003296,0.5061548948287964,0.5165542960166931,0.5189422369003296,0.498502254486084
FAKE_010_346_(10),0.44712045788764954,0.42761680483818054,0.42908838391304016,0.44712045788764954,0.4214105010032654
FAKE_011_772_(8),0.5740431547164917,0.6341858506202698,0.5100037455558777,0.5740431547164917,0.6136989593505859
FAKE_012_573_(3),0.3785782754421234,0.4468716084957123,0.46868807077407837,0.3785782754421234,0.43560776114463806
FAKE_013_607_(4),0.44132059812545776,0.5524167418479919,0.5629614591598511,0.44132059812545776,0.5618197917938232
FAKE_014_458,0.43191224336624146,0.7400428652763367,0.6020196676254272,0.43191224336624146,0.7565332055091858
FAKE_015_641_(4),0.43599140644073486,0.525158166885376,0.4778612554073334,0.43599140644073486,0.5416534543037415
FAKE_016_150_(3),0.4786076545715332,0.4695988595485687,0.3915213346481323,0.4786076545715332,0.4698556661605835
FAKE_017_993_(10),0.5358885526657104,0.43237054347991943,0.4035417139530182,0.5358885526657104,0.4375694990158081
FAKE_018_733_(2),0.26060542464256287,0.4898856580257416,0.3596501648426056,0.26060542464256287,0.4776979088783264
FAKE_019_832_(9),0.45428383350372314,0.39764711260795593,0.3967147469520569,0.45428383350372314,0.3996245861053467
FAKE_020_99_(7),0.6768407821655273,0.525476336479187,0.4229065477848053,0.6768407821655273,0.5083566308021545
FAKE_021_30,0.5040761828422546,0.46189966797828674,0.4760538339614868,0.5040761828422546,0.46367818117141724
FAKE_022_516_(10),0.39522451162338257,0.5109494924545288,0.36445409059524536,0.39522451162338257,0.5097298622131348
FAKE_023_952_(6),0.4587711691856384,0.43007692694664,0.35726919770240784,0.4587711691856384,0.44029828906059265
REAL_024_0941_(6),0.41497376561164856,0.49696478247642517,0.49657949805259705,0.41497376561164856,0.500646710395813
REAL_025_0637_(8),0.35950154066085815,0.3603435456752777,0.38845619559288025,0.35950154066085815,0.34945109486579895
REAL_026_0801,0.4417218267917633,0.5425394773483276,0.5126609802246094,0.4417218267917633,0.5364461541175842
REAL_027_0775_(5),0.4409618377685547,0.589532732963562,0.5184924006462097,0.4409618377685547,0.5779780149459839
REAL_028_0496_(2),0.4513091444969177,0.6523481011390686,0.5615144371986389,0.4513091444969177,0.6564627289772034
REAL_029_0736_(5),0.42999139428138733,0.44134780764579773,0.47708389163017273,0.42999139428138733,0.4390699863433838
REAL_030_0531_(7),0.273745059967041,0.3534254729747772,0.3837948143482208,0.273745059967041,0.3557387590408325
REAL_031_0426_(6),0.6322246193885803,0.653465986251831,0.6519278287887573,0.6322246193885803,0.6549168229103088
REAL_032_0630_(3),0.38093045353889465,0.464228093624115,0.4503013789653778,0.38093045353889465,0.46904119849205017
REAL_033_0858_(2),0.471522718667984,0.6493738889694214,0.5860792398452759,0.471522718667984,0.6569941639900208
REAL_034_0166_(8),0.7340311408042908,0.7943236231803894,0.6169009804725647,0.7340311408042908,0.7955888509750366
REAL_035_0004_(3),0.439041405916214,0.3573008179664612,0.4364875853061676,0.439041405916214,0.34537261724472046
REAL_036_0684_(2),0.4972587823867798,0.5065737962722778,0.5657348036766052,0.4972587823867798,0.5407397150993347
REAL_037_0479_(5),0.20834259688854218,0.19038674235343933,0.18390516936779022,0.20834259688854218,0.1892031878232956
REAL_038_0964,0.3956657946109772,0.3859536647796631,0.342996209859848,0.3956657946109772,0.40006494522094727
REAL_039_0069_(5),0.24854110181331635,0.3785631060600281,0.3236524760723114,0.24854110181331635,0.3782532811164856
REAL_040_0967_(8),0.3475494384765625,0.4385412037372589,0.40074387192726135,0.3475494384765625,0.43067267537117004
REAL_041_0591_(9),0.3463100492954254,0.5602306127548218,0.43236279487609863,0.3463100492954254,0.5622984766960144
REAL_042_0490_(9),0.3888799548149109,0.33209171891212463,0.3027946949005127,0.3888799548149109,0.34049952030181885
REAL_043_0155_(5),0.30797842144966125,0.44256356358528137,0.37430158257484436,0.30797842144966125,0.4380907118320465
REAL_044_0572_(9),0.5787982940673828,0.6253678798675537,0.6406600475311279,0.5787982940673828,0.6294645667076111
REAL_045_0046_(7),0.35193291306495667,0.4714815020561218,0.39495012164115906,0.35193291306495667,0.46730828285217285
REAL_046_0798_(5),0.236314058303833,0.4308954179286957,0.33476459980010986,0.236314058303833,0.4171978235244751
REAL_047_0677_(3),0.7041272521018982,0.5847674608230591,0.6043932437896729,0.7041272521018982,0.5770097374916077
